# massnumber, rigidity, px, py, pz, Nparticles, label
1.000000000000000000e+00 6.309573444801943962e+19 -5.124289202758275374e-01 6.259415597104003859e-02 -8.564453125000000000e-01 6.876523021922045409e-17 0.000000000000000000e+00
1.000000000000000000e+00 8.317637711026742272e+18 -4.623880589108404493e-01 5.019251375919254743e-01 -7.309366861979167407e-01 4.502297952148365257e-02 2.000000000000000000e+00
4.000000000000000000e+00 5.469404059873880064e+18 -5.227179340457519530e-01 4.835101893677017371e-01 -7.021280924479167407e-01 1.315105362933854591e-02 2.000000000000000000e+00
1.000000000000000000e+00 6.918309709189361664e+19 -8.084974529266606424e-01 5.050520055730145508e-01 -3.020833333333333148e-01 1.154217693744753102e-26 2.000000000000000000e+00
1.000000000000000000e+00 5.248074602497712128e+19 -7.969282590114601383e-01 4.776604162507629425e-01 -3.697916666666666297e-01 6.965161550734119427e-12 2.000000000000000000e+00
1.000000000000000000e+00 2.089296130854040781e+19 -4.350764761960001503e-01 7.286180678245392228e-02 -8.974405924479166297e-01 1.244165864704398347e-04 0.000000000000000000e+00
1.000000000000000000e+00 8.317637711026674074e+19 -8.427450713466203558e-01 4.307035768482409543e-01 -3.229166666666666297e-01 2.145560531240158938e-29 2.000000000000000000e+00
1.000000000000000000e+00 8.317637711026674074e+19 -8.190590730479849757e-01 4.909251157078600714e-01 -2.968750000000000000e-01 4.946938053856308939e-22 2.000000000000000000e+00
1.000000000000000000e+00 1.096478196143182807e+20 9.251634706747084713e-02 -2.751139259125273129e-01 9.569498697916666297e-01 8.629311710138878995e-24 1.000000000000000000e+00
1.000000000000000000e+00 5.495408738576225894e+19 -7.991675223998357946e-01 4.856925399504610219e-01 -3.541666666666666297e-01 1.030265652030215847e-16 2.000000000000000000e+00
1.000000000000000000e+00 2.398832919019484774e+19 -6.825316941787291647e-01 5.127212940091359084e-01 -5.208333333333332593e-01 1.615203159514099716e-05 2.000000000000000000e+00
1.000000000000000000e+00 1.047128548050898289e+20 -8.075852180181127826e-01 5.183671991345877306e-01 -2.812500000000000000e-01 6.075025091224433893e-33 2.000000000000000000e+00
1.000000000000000000e+00 8.317637711026674074e+19 -7.996155294302457195e-01 4.995036476171888506e-01 -3.333333333333333148e-01 7.082828654620424545e-19 2.000000000000000000e+00
1.000000000000000000e+00 1.096478196143182807e+20 -5.785770513522089376e-01 7.136067298297682493e-02 -8.125000000000000000e-01 1.319325437952280010e-27 0.000000000000000000e+00
1.400000000000000000e+01 1.361043369973751552e+18 -6.665891790640037229e-01 3.722340284153685119e-01 -6.458333333333332593e-01 5.406215908284768557e-02 4.000000000000000000e+00
2.800000000000000000e+01 4.293801552205064320e+17 5.245825674272709405e-01 8.513436457831242699e-01 -5.208333333333333044e-03 9.710891503061855334e-02 2.000000000000000000e+00
1.000000000000000000e+00 1.202264434617418056e+20 -5.726710621558258607e-01 1.090486339635591967e-01 -8.125000000000000000e-01 2.881350217902427929e-31 0.000000000000000000e+00
1.000000000000000000e+00 7.943282347242789274e+19 1.296546795464657564e-01 -2.936398564058406713e-01 9.470825195312500000e-01 4.721278746233316709e-19 1.000000000000000000e+00
1.000000000000000000e+00 1.513561248436207206e+19 -6.705997986396301513e-01 4.304399481383859305e-01 -6.041666666666666297e-01 1.248430416383267735e-03 2.000000000000000000e+00
1.000000000000000000e+00 5.248074602497712128e+19 -7.931471519560929773e-01 4.954629830432950577e-01 -3.541666666666666297e-01 3.560440533194646212e-14 2.000000000000000000e+00
1.200000000000000000e+01 7.600090327965930240e+17 7.883543789339924057e-01 5.922158351798957332e-01 1.666666666666666574e-01 4.734326642631869753e-02 4.000000000000000000e+00
1.000000000000000000e+00 1.000000000000000164e+20 -8.254533081378676584e-01 5.086294093097707414e-01 -2.447916666666666574e-01 5.405017313448750560e-23 2.000000000000000000e+00
1.000000000000000000e+00 6.918309709189361664e+19 -8.316328182914809464e-01 4.984615285768043691e-01 -2.447916666666666574e-01 4.017047664712150404e-30 2.000000000000000000e+00
