# rigidity, px, py, pz, Nparticles, x0, y0, z0
8.317637711026742272e+18 5.756129108432108676e-01 -8.173075360400320344e-01 -2.604166666666666435e-02 1.069292488756125918e-05 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
1.258925411794171331e+20 -1.474399647745683675e-02 4.213592110506195892e-02 -9.990030924479166297e-01 3.213813667539316097e-72 -3.339999999999999858e+00 1.250000000000000000e+00 -3.560000000000000053e+00
1.584893192461110886e+19 6.483819555287432257e-01 -6.894386601675392967e-01 3.229166666666666297e-01 3.544352944027665667e-06 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
1.445439770745927885e+19 5.723536635907829906e-01 -8.126797605140716474e-01 1.093750000000000000e-01 1.101903129541343720e-05 2.770000000000000018e+00 -2.819999999999999840e+00 2.459999999999999964e+00
8.317637711026674074e+19 6.127715761322671817e-01 -6.203379362948870934e-01 4.895833333333333148e-01 1.057543051222762953e-46 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
1.318256738556410102e+20 5.457408011586566410e-01 -8.060084471267013884e-01 2.291666666666666574e-01 1.993930117571809620e-73 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
7.244359600749890765e+19 6.068970802491592265e-01 -6.219784084534347723e-01 4.947916666666666297e-01 5.705431818723582447e-41 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
3.005661086543544832e+18 -1.832566243613808002e-02 -9.954270980821632309e-01 9.375000000000000000e-02 4.444688253009891274e-03 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
3.801893963205627904e+19 6.182873375535862248e-01 -6.494074990467234576e-01 4.427083333333333148e-01 1.371024883796773560e-22 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
6.606934480075965235e+19 6.584416525761882522e-01 -7.446419942010645832e-01 -1.093750000000000000e-01 2.748821040276564908e-37 2.770000000000000018e+00 -2.819999999999999840e+00 2.459999999999999964e+00
1.318256738556410266e+19 4.582781925382315991e-01 -8.832827104091760528e-01 9.895833333333332871e-02 1.870422819570733617e-08 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
5.469404059873880064e+18 6.509270732482248523e-01 -6.509270732482250743e-01 3.906250000000000000e-01 7.785220694429389457e-05 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
2.079409427756685568e+18 1.636196642805335111e-01 -9.785722280244446569e-01 1.250000000000000000e-01 7.424960609463922452e-03 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
3.450960661507216384e+18 2.369721629973437493e-01 -9.712930382673308216e-01 2.083333333333333218e-02 2.558254277486837584e-03 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
1.659586907437556326e+19 4.960451115288863067e-01 -8.511158744279739841e-01 -1.718750000000000000e-01 6.282866989786087443e-11 2.770000000000000018e+00 -2.819999999999999840e+00 2.459999999999999964e+00
2.617821370127246336e+18 1.864242169323851450e-01 -9.682294322955532495e-01 1.666666666666666574e-01 7.476768811618149380e-03 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
3.019951720402019123e+19 1.826440046887660429e-01 -5.410161896273014276e-02 -9.816894531250000000e-01 4.131530669489321261e-18 -3.339999999999999858e+00 1.250000000000000000e+00 -3.560000000000000053e+00
1.006650573467339776e+19 6.679151625198223030e-01 -6.517199897587302448e-01 3.593750000000000000e-01 2.582656817672413837e-07 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
2.089296130854040781e+19 4.882185813711203415e-01 -8.376870876016452305e-01 2.447916666666666574e-01 6.351684677470162778e-13 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
1.595433641075460301e+19 5.054886960507622984e-01 -8.433569389225352708e-01 1.822916666666666574e-01 9.424359168679468642e-11 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
1.659586907437556367e+20 5.967649502084001467e-01 -6.191497561912260306e-01 5.104166666666666297e-01 1.425793530815853586e-48 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
6.279716078773929984e+18 4.188418172981848153e-01 -8.581589400905603737e-01 2.968750000000000000e-01 3.332188793475114531e-05 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
1.445439770745927926e+20 5.950717082985182982e-01 -6.250233610939985862e-01 5.052083333333332593e-01 2.664781327613298516e-41 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
1.819700858609990246e+19 5.959056891663262467e-01 -7.932662917452157902e-01 -1.250000000000000000e-01 1.638617598717198983e-11 2.770000000000000018e+00 -2.819999999999999840e+00 2.459999999999999964e+00
6.065669528699967488e+18 5.546576997644638851e-01 -8.301039097742821671e-01 -5.729166666666666435e-02 3.338123099096903937e-05 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
